"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
7700,10,2,1,350,666,697,0,1,1,2,325,1,1,2,81,1,697,-4,1
7701,10,2,1,-4,-4,625,0,1,0,-4,-4,-4,-4,1,82,1,625,465,1
7702,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7703,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7704,13,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7705,10,2,1,-4,686,980,1,0,-4,-4,-4,-4,-4,8,81,1,980,740,0
7706,13,2,2,-4,-4,287,0,1,0,-4,-4,-4,-4,12,81,1,287,-4,0
7707,10,2,1,310,400,335,0,1,0,-4,-4,-4,-4,4,81,1,335,-4,1
7708,13,2,2,340,290,540,1,1,0,-4,-4,-4,-4,6,81,1,540,-4,1
7709,10,2,1,-4,864,1031,0,1,0,-4,-4,-4,-4,8,81,1,1031,-4,0
7710,13,2,2,-4,-4,706,0,0,-4,-4,-4,-4,-4,10,81,1,706,-4,1
7711,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7712,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7713,13,2,2,-4,400,335,0,1,0,-4,-4,-4,-4,12,81,1,335,-4,1
7714,10,2,1,-4,380,333,0,1,0,-4,-4,-4,-4,3,81,1,333,-4,0
7715,10,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7716,11,1,1,600,320,697,0,1,1,2,900,1,3,7,81,1,697,-4,1
7717,11,1,1,-4,-4,600,1,0,-4,-4,-4,-4,-4,8,81,1,600,450,1
7718,11,1,1,297,-4,-4,0,1,0,-4,-4,-4,-4,11,81,1,-4,-4,1
7719,11,1,1,-4,-4,-4,0,1,0,-4,-4,-4,-4,8,81,1,-4,450,0
7720,11,1,1,290,341,365,1,0,-4,-4,-4,-4,-4,3,81,1,365,-4,1
7721,11,1,1,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
7722,12,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
7723,11,1,1,-4,335,904,1,1,1,1,964,1,10,5,81,1,904,-4,1
7724,9,3,1,350,264,425,0,1,0,-4,-4,-4,-4,9,81,0,530,425,1
7725,9,3,1,872,1400,3846,1,0,-4,-4,-4,-4,-4,10,81,1,3846,1923,1
7726,9,3,1,-4,-4,1923,-1,-1,-4,-4,-4,-4,-4,-3,-3,1,1923,-4,-3
7727,9,3,1,1600,1500,1162,0,1,1,2,150,1,9,5,81,1,1162,-4,1
7728,9,3,1,-4,-4,500,0,1,0,-4,-4,-4,-4,9,81,1,500,-4,1
7729,12,3,2,-4,445,961,1,0,-4,-4,-4,-4,-4,11,81,1,961,575,1
7730,12,3,2,400,350,650,0,1,0,-4,-4,-4,-4,8,81,1,650,-4,1
7731,12,3,2,305,587,813,1,1,1,1,-4,-2,10,6,81,1,813,1000,1
7732,9,3,1,-4,-4,500,1,0,-4,-4,-4,-4,-4,3,81,1,500,-4,0
7733,11,1,1,-5,-4,413,0,1,0,-4,-4,-4,-4,3,81,1,413,-4,1
7734,12,3,2,300,335,400,1,0,-4,-4,-4,-4,-4,10,81,1,400,-4,1
