case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
3961.0,1.0,3.0,1.0,650.0,375.0,y
3961.0,1.0,3.0,1.0,350.0,375.0,n
3970.0,5.0,3.0,2.0,564.0,350.0,y
3970.0,5.0,3.0,2.0,335.0,350.0,n
3973.0,1.0,3.0,1.0,721.0,441.0,y
3973.0,1.0,3.0,1.0,300.0,441.0,n
4148.0,5.0,3.0,2.0,335.0,733.0,y
4148.0,5.0,3.0,2.0,335.0,733.0,n
4252.0,5.0,3.0,2.0,565.0,100.0,y
4252.0,5.0,3.0,2.0,350.0,100.0,n
4254.0,5.0,3.0,2.0,400.0,127.0,y
4254.0,5.0,3.0,2.0,350.0,127.0,n
4315.0,3.0,2.0,1.0,750.0,475.0,y
4315.0,3.0,2.0,1.0,550.0,475.0,n
4336.0,1.0,3.0,1.0,100.0,310.0,y
4336.0,1.0,3.0,1.0,365.0,310.0,n
4340.0,4.0,1.0,1.0,650.0,471.0,y
4340.0,4.0,1.0,1.0,350.0,471.0,n
4352.0,6.0,3.0,2.0,750.0,586.0,y
4352.0,6.0,3.0,2.0,181.0,586.0,n
4364.0,4.0,1.0,1.0,355.0,400.0,y
4364.0,4.0,1.0,1.0,365.0,400.0,n
4479.0,5.0,3.0,2.0,500.0,415.0,y
4479.0,5.0,3.0,2.0,310.0,415.0,n
4509.0,1.0,3.0,1.0,500.0,400.0,y
4509.0,1.0,3.0,1.0,325.0,400.0,n
4527.0,8.0,1.0,2.0,872.0,450.0,y
4527.0,8.0,1.0,2.0,475.0,450.0,n
4536.0,5.0,3.0,2.0,474.0,333.0,y
4536.0,5.0,3.0,2.0,356.0,333.0,n
4598.0,5.0,3.0,2.0,587.0,232.0,y
4598.0,5.0,3.0,2.0,335.0,232.0,n
4635.0,1.0,3.0,1.0,340.0,437.0,y
4635.0,1.0,3.0,1.0,335.0,437.0,n
4653.0,6.0,3.0,2.0,800.0,150.0,y
4653.0,6.0,3.0,2.0,380.0,150.0,n
4674.0,5.0,3.0,2.0,543.0,600.0,y
4674.0,5.0,3.0,2.0,145.0,600.0,n
4690.0,5.0,3.0,2.0,394.0,166.0,y
4690.0,5.0,3.0,2.0,365.0,166.0,n
4717.0,5.0,3.0,2.0,365.0,350.0,y
4717.0,5.0,3.0,2.0,400.0,350.0,n
4720.0,1.0,3.0,1.0,1000.0,650.0,y
4720.0,1.0,3.0,1.0,700.0,650.0,n
4797.0,5.0,3.0,2.0,365.0,310.0,y
4797.0,5.0,3.0,2.0,335.0,310.0,n
4822.0,5.0,3.0,2.0,360.0,470.0,y
4822.0,5.0,3.0,2.0,488.0,470.0,n
4829.0,1.0,3.0,1.0,335.0,310.0,y
4829.0,1.0,3.0,1.0,335.0,310.0,n
4836.0,2.0,3.0,1.0,968.0,450.0,y
4836.0,2.0,3.0,1.0,600.0,450.0,n
4841.0,5.0,3.0,2.0,357.0,265.0,y
4841.0,5.0,3.0,2.0,406.0,265.0,n
4845.0,1.0,3.0,1.0,1197.0,335.0,y
4845.0,1.0,3.0,1.0,550.0,335.0,n
4857.0,1.0,3.0,1.0,345.0,310.0,y
4857.0,1.0,3.0,1.0,330.0,310.0,n
4858.0,1.0,3.0,1.0,1045.0,575.0,y
4858.0,1.0,3.0,1.0,800.0,575.0,n
4884.0,1.0,3.0,1.0,600.0,488.0,y
4884.0,1.0,3.0,1.0,575.0,488.0,n
4919.0,5.0,3.0,2.0,517.0,278.0,y
4919.0,5.0,3.0,2.0,310.0,278.0,n
5065.0,5.0,3.0,2.0,673.0,325.0,y
5065.0,5.0,3.0,2.0,400.0,325.0,n
5082.0,1.0,3.0,1.0,388.0,575.0,y
5082.0,1.0,3.0,1.0,500.0,575.0,n
5097.0,1.0,3.0,1.0,308.0,250.0,y
5097.0,1.0,3.0,1.0,310.0,250.0,n
5143.0,8.0,1.0,2.0,846.0,349.0,y
5143.0,8.0,1.0,2.0,400.0,349.0,n
5147.0,4.0,1.0,1.0,1304.0,1100.0,y
5147.0,4.0,1.0,1.0,350.0,1100.0,n
5193.0,5.0,3.0,2.0,312.0,315.0,y
5193.0,5.0,3.0,2.0,260.0,315.0,n
5218.0,4.0,1.0,1.0,935.0,500.0,y
5218.0,4.0,1.0,1.0,350.0,500.0,n
5219.0,5.0,3.0,2.0,375.0,250.0,y
5219.0,5.0,3.0,2.0,335.0,250.0,n
5254.0,1.0,3.0,1.0,600.0,310.0,y
5254.0,1.0,3.0,1.0,310.0,310.0,n
