case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
7648.0,13.0,2.0,2.0,450.0,435.0,n
7678.0,13.0,2.0,2.0,1666.0,345.0,y
7678.0,13.0,2.0,2.0,345.0,345.0,n
7762.0,9.0,3.0,1.0,865.0,450.0,y
7762.0,9.0,3.0,1.0,865.3846153846154,450.0,n
7787.0,11.0,1.0,1.0,475.0,494.0,y
7787.0,11.0,1.0,1.0,750.0,494.0,n
7818.0,13.0,2.0,2.0,566.0,432.0,y
7818.0,13.0,2.0,2.0,437.5,432.0,n
7889.0,9.0,3.0,1.0,425.0,475.0,y
7889.0,9.0,3.0,1.0,375.0,475.0,n
7897.0,9.0,3.0,1.0,730.0,1500.0,y
7897.0,9.0,3.0,1.0,625.0,1500.0,n
7973.0,14.0,1.0,2.0,437.0,310.0,y
7973.0,14.0,1.0,2.0,385.0,310.0,n
7990.0,14.0,1.0,2.0,437.0,437.0,y
7990.0,14.0,1.0,2.0,450.0,437.0,n
8074.0,10.0,2.0,1.0,500.0,666.0,y
8074.0,10.0,2.0,1.0,400.0,666.0,n
8159.0,11.0,1.0,1.0,1010.0,495.0,y
8159.0,11.0,1.0,1.0,335.0,495.0,n
8168.0,11.0,1.0,1.0,750.0,600.0,y
8168.0,11.0,1.0,1.0,510.0,600.0,n
8169.0,14.0,1.0,2.0,85.0,622.0,y
8169.0,14.0,1.0,2.0,450.0,622.0,n
8181.0,14.0,1.0,2.0,581.0,385.0,y
8181.0,14.0,1.0,2.0,437.5,385.0,n
8266.0,14.0,1.0,2.0,600.0,465.0,y
8266.0,14.0,1.0,2.0,312.5,465.0,n
8301.0,11.0,1.0,1.0,283.0,300.0,y
8301.0,11.0,1.0,1.0,335.0,300.0,n
8361.0,11.0,1.0,1.0,610.0,633.0,y
8361.0,11.0,1.0,1.0,650.0,633.0,n
8426.0,10.0,2.0,1.0,620.0,360.0,y
8426.0,10.0,2.0,1.0,495.0,360.0,n
8533.0,12.0,3.0,2.0,488.0,350.0,y
8533.0,12.0,3.0,2.0,650.0,350.0,n
8537.0,13.0,2.0,2.0,331.0,329.0,y
8537.0,13.0,2.0,2.0,360.0,329.0,n
8748.0,12.0,3.0,2.0,375.0,350.0,y
8748.0,12.0,3.0,2.0,200.0,350.0,n
9019.0,13.0,2.0,2.0,385.0,345.0,y
9019.0,13.0,2.0,2.0,345.0,345.0,n
9364.0,14.0,1.0,2.0,447.0,300.0,y
9364.0,14.0,1.0,2.0,335.0,300.0,n
9401.0,13.0,2.0,2.0,335.0,375.0,y
9401.0,13.0,2.0,2.0,400.0,375.0,n
9415.0,12.0,3.0,2.0,335.0,400.0,y
9415.0,12.0,3.0,2.0,335.0,400.0,n
